award_id,recipient_id,nominator_id,award_title,award_message,category_id,reasoning,award_date,monetary_value_usd,award_status
AWD00001,EMP0051,EMP0019,Innovation & Business Impact Award,Thank you all for your invaluable guidance on the Pod submission. I really appreciate the time you t,B,Delivering business impact and results,2025-03-21,104,Approved
AWD00002,EMP0045,EMP0020,Customer & Client Focus Award,"Team,  Thank you all for your participation in the December NPS workshops based on the ""buyer"" (B2B)",C,Exceptional customer service and relationships,2025-06-18,207,Approved
AWD00003,EMP0037,EMP0001,Innovation & Business Impact Award,The Upper Funnel Product campaign has rounded out the year to be the most significant brand advertis,B,Driving innovation and business results,2025-02-28,410,Approved
AWD00004,EMP0032,EMP0014,Teamwork & Collaboration Award,"Carrie, Eva, & Liu, thank you all so much for the hard work you put into creating new templates for",D,Strong collaboration and team support,2025-02-13,1539,Approved
AWD00005,EMP0057,EMP0035,Leadership & Management Award,"Matt and Eva, so grateful for getting to work so closely with both of you this year! Matt, not only",A,Demonstrated strong leadership and mentoring,2025-09-13,872,Approved
AWD00006,EMP0012,EMP0011,Teamwork & Collaboration Award,Reflecting on the year as it ends - this is to highlight the resilience and teamwork you showed in 2,D,Strong collaboration and team support,2025-03-07,1082,Approved
AWD00007,EMP0039,EMP0057,Teamwork & Collaboration Award,"This is an overdue shout-out to the incredible subject matter experts driving the ongoing, cross-fun",D,Strong collaboration and team support,2025-04-13,1724,Approved
AWD00008,EMP0026,EMP0042,Teamwork & Collaboration Award,I would really like to thank each one of you for your continued support and commitment. You are alwa,D,Strong collaboration and team support,2025-07-14,606,Approved
AWD00009,EMP0003,EMP0023,Teamwork & Collaboration Award,"....That is a direct quote not from one person, but from multiple executives about your work on the",D,Strong collaboration and team support,2025-02-17,1930,Approved
AWD00010,EMP0049,EMP0050,Leadership & Management Award,As 2026 nears to an end I need to acknowledge the enormous win we have realized for WH Media and Wor,A,Demonstrated strong leadership and mentoring,2025-09-18,1201,Approved
AWD00011,EMP0035,EMP0041,Teamwork & Collaboration Award,"Kaleigh, This year has been an incredible experience working with you. From helping out with the 3rd",D,Strong collaboration and team support,2025-03-16,481,Approved
AWD00012,EMP0018,EMP0060,Leadership & Management Award,"Brianna, Your contributions and impact this year has been incredible.  The webinars you managed this",A,Demonstrated strong leadership and mentoring,2025-08-01,1671,Approved
AWD00013,EMP0016,EMP0037,Teamwork & Collaboration Award,"Team, this year asked a lot of us... lots of ""new"" in the mix: team, managers, processes, expectatio",D,Strong collaboration and team support,2025-10-17,1463,Approved
AWD00014,EMP0005,EMP0054,Teamwork & Collaboration Award,"Team, it was so fun to take a moment this week and celebrate everything you achieved in 2025. The ca",D,Strong collaboration and team support,2025-07-12,230,Approved
AWD00015,EMP0035,EMP0025,Innovation & Business Impact Award,"Thank you so much, Maureen, for jumping in so quickly and transforming the Delaware North presentati",B,Driving innovation and business results,2025-08-25,1349,Approved
AWD00016,EMP0006,EMP0009,Teamwork & Collaboration Award,Thank you both for your partnership today on the new ABM microsite & paid media launch process! Your,D,Strong collaboration and team support,2025-08-07,1169,Approved
AWD00017,EMP0038,EMP0013,Teamwork & Collaboration Award,Thank you to this team for always delivering - especially with an urgent deadline.  We needed to pro,D,Strong collaboration and team support,2025-07-13,1727,Approved
AWD00018,EMP0030,EMP0010,Teamwork & Collaboration Award,"As the year comes to an end, I want to highlight the amazing work you’ve done on the On-Service Desk",D,Strong collaboration and team support,2025-08-07,365,Approved
AWD00019,EMP0012,EMP0053,Teamwork & Collaboration Award,"Eoin, thanks so much for kitting out the OCP desks last week. I know there was a bit of a push to ge",D,Strong collaboration and team support,2025-03-21,1084,Approved
AWD00020,EMP0014,EMP0007,Teamwork & Collaboration Award,"“Thank you all for your collaboration this year on requests, renewals, RFP's and everything in betwe",D,Strong collaboration and team support,2025-08-18,871,Approved
AWD00021,EMP0004,EMP0001,Teamwork & Collaboration Award,"Maya, I wanted to take a moment to say thank you for all of the kindness, support and help you have",D,Strong collaboration and team support,2025-01-16,1178,Approved
AWD00022,EMP0037,EMP0052,Teamwork & Collaboration Award,"Sarah, I wanted to drop a quick note to say thank you for all of the wonderful support you and your",D,Strong collaboration and team support,2025-06-01,146,Approved
AWD00023,EMP0055,EMP0008,Teamwork & Collaboration Award,"David, as we wrap up the year, I want to recognise the incredible support you've given me throughout",D,Strong collaboration and team support,2025-07-09,1906,Approved
AWD00024,EMP0035,EMP0037,Teamwork & Collaboration Award,I would like to extend my sincere gratitude and appreciation to this Financial Operations team for t,D,Strong collaboration and team support,2025-11-21,1287,Approved
AWD00025,EMP0020,EMP0055,Teamwork & Collaboration Award,Hi All - i would like to thank you guys for your input that enables me to produce a cashflow forecas,D,Strong collaboration and team support,2025-09-22,1735,Approved
AWD00026,EMP0018,EMP0017,Teamwork & Collaboration Award,I want to take a moment to express my gratitude for the time spend on the vendor search project so f,D,Strong collaboration and team support,2025-05-28,307,Approved
AWD00027,EMP0041,EMP0029,Teamwork & Collaboration Award,"Apologies that this award is a tad belated, but thank you for all your efforts in the interviewing p",D,Strong collaboration and team support,2025-11-10,1200,Approved
AWD00028,EMP0035,EMP0023,Teamwork & Collaboration Award,"Hi all, Coming to the end of the year I just want to thank some time to say thank you for all that y",D,Strong collaboration and team support,2025-09-16,1984,Approved
AWD00029,EMP0019,EMP0007,Leadership & Management Award,Thank you to the HX SMEs who facilitated the Performance Updates training for our People Leaders! Be,A,Demonstrated strong leadership and mentoring,2025-10-08,341,Approved
AWD00030,EMP0019,EMP0047,Teamwork & Collaboration Award,"Thank you all for your collaboration this year on requests, renewals, RFP's and everything in betwee",D,Strong collaboration and team support,2025-07-30,474,Approved
AWD00031,EMP0033,EMP0019,Teamwork & Collaboration Award,"On behalf of the entire Customer Service Leadership Team, we want to express our sincere thanks for",D,Strong collaboration and team support,2025-04-07,389,Approved
AWD00032,EMP0056,EMP0059,Teamwork & Collaboration Award,I wanted to say thanks for all the work that each of you put into the team migration project over th,D,Strong collaboration and team support,2025-11-12,1491,Approved
AWD00033,EMP0006,EMP0041,Teamwork & Collaboration Award,"Team, I just want to say thank you to you both for the support with numerous queries I have had over",D,Strong collaboration and team support,2025-11-08,261,Approved
AWD00034,EMP0040,EMP0034,Teamwork & Collaboration Award,Thank you for joining the team who will deliver Christmas to all of Operations. It takes a fair bit,D,Strong collaboration and team support,2025-05-27,1351,Approved
AWD00035,EMP0038,EMP0007,Customer & Client Focus Award,"As we close out 2025, I want to celebrate the incredible achievement of launching Social Sharing, on",C,Exceptional customer service and relationships,2025-07-27,1572,Approved
