message,category_id,category_name,reasoning,award_date
Thank you all for your invaluable guidance on the Pod submission. I really appreciate the time you t,B,Innovation & Business Impact,Delivering business impact and results,
"Team,  Thank you all for your participation in the December NPS workshops based on the ""buyer"" (B2B)",C,Customer & Client Focus,Exceptional customer service and relationships,
The Upper Funnel Product campaign has rounded out the year to be the most significant brand advertis,B,Innovation & Business Impact,Driving innovation and business results,
"Carrie, Eva, & Liu, thank you all so much for the hard work you put into creating new templates for ",D,Teamwork & Collaboration,Strong collaboration and team support,
"Matt and Eva, so grateful for getting to work so closely with both of you this year! Matt, not only ",A,Leadership & Management,Demonstrated strong leadership and mentoring,
Reflecting on the year as it ends - this is to highlight the resilience and teamwork you showed in 2,D,Teamwork & Collaboration,Strong collaboration and team support,
"This is an overdue shout-out to the incredible subject matter experts driving the ongoing, cross-fun",D,Teamwork & Collaboration,Strong collaboration and team support,
I would really like to thank each one of you for your continued support and commitment. You are alwa,D,Teamwork & Collaboration,Strong collaboration and team support,
"....That is a direct quote not from one person, but from multiple executives about your work on the ",D,Teamwork & Collaboration,Strong collaboration and team support,
As 2026 nears to an end I need to acknowledge the enormous win we have realized for WH Media and Wor,A,Leadership & Management,Demonstrated strong leadership and mentoring,
"Kaleigh, This year has been an incredible experience working with you. From helping out with the 3rd",D,Teamwork & Collaboration,Strong collaboration and team support,
"Brianna, Your contributions and impact this year has been incredible.  The webinars you managed this",A,Leadership & Management,Demonstrated strong leadership and mentoring,
"Team, this year asked a lot of us... lots of ""new"" in the mix: team, managers, processes, expectatio",D,Teamwork & Collaboration,Strong collaboration and team support,
"Team, it was so fun to take a moment this week and celebrate everything you achieved in 2025. The ca",D,Teamwork & Collaboration,Strong collaboration and team support,
"Thank you so much, Maureen, for jumping in so quickly and transforming the Delaware North presentati",B,Innovation & Business Impact,Driving innovation and business results,
Thank you both for your partnership today on the new ABM microsite & paid media launch process! Your,D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you to this team for always delivering - especially with an urgent deadline.  We needed to pro,D,Teamwork & Collaboration,Strong collaboration and team support,
"As the year comes to an end, I want to highlight the amazing work you’ve done on the On-Service Desk",D,Teamwork & Collaboration,Strong collaboration and team support,
"Eoin, thanks so much for kitting out the OCP desks last week. I know there was a bit of a push to ge",D,Teamwork & Collaboration,Strong collaboration and team support,
"“Thank you all for your collaboration this year on requests, renewals, RFP's and everything in betwe",D,Teamwork & Collaboration,Strong collaboration and team support,
"Maya, I wanted to take a moment to say thank you for all of the kindness, support and help you have ",D,Teamwork & Collaboration,Strong collaboration and team support,
"Sarah, I wanted to drop a quick note to say thank you for all of the wonderful support you and your ",D,Teamwork & Collaboration,Strong collaboration and team support,
"David, as we wrap up the year, I want to recognise the incredible support you've given me throughout",D,Teamwork & Collaboration,Strong collaboration and team support,
I would like to extend my sincere gratitude and appreciation to this Financial Operations team for t,D,Teamwork & Collaboration,Strong collaboration and team support,
Hi All - i would like to thank you guys for your input that enables me to produce a cashflow forecas,D,Teamwork & Collaboration,Strong collaboration and team support,
I want to take a moment to express my gratitude for the time spend on the vendor search project so f,D,Teamwork & Collaboration,Strong collaboration and team support,
"Apologies that this award is a tad belated, but thank you for all your efforts in the interviewing p",D,Teamwork & Collaboration,Strong collaboration and team support,
"Hi all, Coming to the end of the year I just want to thank some time to say thank you for all that y",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you to the HX SMEs who facilitated the Performance Updates training for our People Leaders! Be,A,Leadership & Management,Demonstrated strong leadership and mentoring,
"Thank you all for your collaboration this year on requests, renewals, RFP's and everything in betwee",D,Teamwork & Collaboration,Strong collaboration and team support,
"On behalf of the entire Customer Service Leadership Team, we want to express our sincere thanks for ",D,Teamwork & Collaboration,Strong collaboration and team support,
I wanted to say thanks for all the work that each of you put into the team migration project over th,D,Teamwork & Collaboration,Strong collaboration and team support,
"Team, I just want to say thank you to you both for the support with numerous queries I have had over",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you for joining the team who will deliver Christmas to all of Operations. It takes a fair bit ,D,Teamwork & Collaboration,Strong collaboration and team support,
"As we close out 2025, I want to celebrate the incredible achievement of launching Social Sharing, on",C,Customer & Client Focus,Exceptional customer service and relationships,
"Team, A long long overdue thank you for all the support and guidance you've given myself in 2025 it'",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you Chris for always replying to my many questions and providing me with so much support when ,C,Customer & Client Focus,Exceptional customer service and relationships,
"Team, It's truly a pleasure working alongside such talented and efficient people. Your support, coop",D,Teamwork & Collaboration,Strong collaboration and team support,
"With all our ongoing correspondence between ourselves and the suppliers, thank you for being such gr",D,Teamwork & Collaboration,Strong collaboration and team support,
I want to recognize the incredible efforts of our sales team and your dedication to making work mean,D,Teamwork & Collaboration,Strong collaboration and team support,
"Hey all, I would like to take this moment to thank each of you for your support this year. From IT i",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you for all the incredible efforts during the last Sprint! You delivered algorithm improvement,E,Professional Excellence,Professional excellence and expertise,
"Phoenix & Titans, This award is a small attempt to recognize something that has been anything but sm",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you all for your incredible efforts during the last Sprint. You went above and beyond by tackl,A,Leadership & Management,Demonstrated strong leadership and mentoring,
Thank you team for your support throughout 2025. Your guidance on solution revenue and billings for ,D,Teamwork & Collaboration,Strong collaboration and team support,
This is a long overdue thank you for covering for me while I was on sick leave. I got the awful dose,E,Professional Excellence,Strong professional contribution,
I wanted to take a moment to thank you all for your support this year- assisting with regional VAT q,D,Teamwork & Collaboration,Strong collaboration and team support,
"Marcus, A huge thanks for all your help and support in 2025 it is greatly appreciated. We started of",D,Teamwork & Collaboration,Strong collaboration and team support,
"Sarah and Lisa, I want to sincerely thank you for your hard work and ongoing collaboration on the Au",D,Teamwork & Collaboration,Strong collaboration and team support,
"As we conclude the year, I would like to thank Operations team for consistently being there when nee",D,Teamwork & Collaboration,Strong collaboration and team support,
"Thank you all for another successful year together, putting our clients needs in the first place. Ap",C,Customer & Client Focus,Exceptional customer service and relationships,
Wanted to take a moment to shout you four out today! During the All Hands - AEs you all support got ,D,Teamwork & Collaboration,Strong collaboration and team support,
It's been great joining this team and working with you. I've learned a lot thanks to all of you. You,D,Teamwork & Collaboration,Strong collaboration and team support,
"Hi Emma, I wanted to recognise you for your help with the most recent rule request from MegaCorp, yo",D,Teamwork & Collaboration,Strong collaboration and team support,
"It is never easy and straight forward with the first time activities, especially to be done on large",E,Professional Excellence,Strong professional contribution,
I'd like to take a moment to sincerely thank you for your collaboration throughout 2025. From partne,D,Teamwork & Collaboration,Strong collaboration and team support,
I'd like to take a moment to sincerely thank you for your collaboration throughout 2025. From partne,D,Teamwork & Collaboration,Strong collaboration and team support,
I would like to nominate Performance team for the professionalism with which few of our urgent reque,D,Teamwork & Collaboration,Strong collaboration and team support,
Congrats on be a winner on this weeks TechChampion advent calendar wheel spin,E,Professional Excellence,Strong professional contribution,
"Dear teammates, as we move into 2026, I want to sincerely thank each of you for your hard work, reli",D,Teamwork & Collaboration,Strong collaboration and team support,
I want to express my sincere appreciation to the Procurement team for your incredible partnership wi,D,Teamwork & Collaboration,Strong collaboration and team support,
"Alex as we approach the end of 2025, I want to thank you for all your support throughout the year. Y",D,Teamwork & Collaboration,Strong collaboration and team support,
"Marcus, I just wanted to take a moment to say thank you for all the effort you've been putting in—it",E,Professional Excellence,Professional excellence and expertise,
I just wanted to take a moment to thank you for taking the time to address the network connectivity ,D,Teamwork & Collaboration,Strong collaboration and team support,
"Vincent, wanted to call out all that you have done for the team. It really has been amazing the job ",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you for jumping on the ask to provide daily updates to Regional Financial. It is such a pleasu,D,Teamwork & Collaboration,Strong collaboration and team support,
"Nina & Maya, On behalf of the Merchandise Team, we would like to extend our heartfelt gratitude for ",D,Teamwork & Collaboration,Strong collaboration and team support,
"Thanks to each and everyone one of you for all your hard work, dedication and teamwork throughout 20",D,Teamwork & Collaboration,Strong collaboration and team support,
"I would like to thank you All for your contributions throughout the year. The hard work, support, an",D,Teamwork & Collaboration,Strong collaboration and team support,
"2025 has been a year of many ups and downs, but everyone showed great resilience and continued worki",D,Teamwork & Collaboration,Strong collaboration and team support,
"Karen, this is certainly over due, but huge thanks for the amazing partnership - not just for the re",D,Teamwork & Collaboration,Strong collaboration and team support,
"Folks, Thanks for all the cross functional support. Managing floats has been challenging but very su",A,Leadership & Management,Demonstrated strong leadership and mentoring,
"This award goes to the whole Mobile team because in 2025, we didn't just improve the app… we complet",C,Customer & Client Focus,Exceptional customer service and relationships,
Congratulations Sarah on the birth of your beautiful new baby. Enjoy this precious time with your ne,E,Professional Excellence,Strong professional contribution,
"Hi Amanda, this is long overdue, but not forgotten. I would like to say a big Thank you for all your",D,Teamwork & Collaboration,Strong collaboration and team support,
"Well well, partner in crime - we did it again! A bit of contract digging saved us a few bob when we ",D,Teamwork & Collaboration,Strong collaboration and team support,
I want to take the time to recognise each and every one of you for being such a great team. The way ,D,Teamwork & Collaboration,Strong collaboration and team support,
"Thank you all for your continued support throughout the year. There were ups and downs, but every ex",D,Teamwork & Collaboration,Strong collaboration and team support,
"Dear Team, The merchandise team would like to take this moment to thank each one of you for the amaz",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you all for the brilliant collaboration and dedication you've brought to the feedback componen,D,Teamwork & Collaboration,Strong collaboration and team support,
"Hi Alaa, I wanted to thank you for your mentorship this year. I learned a lot, and I truly appreciat",D,Teamwork & Collaboration,Strong collaboration and team support,
"Hey Sharanya and Anitha, It was truly great working with both of you this year. I believe we learned",D,Teamwork & Collaboration,Strong collaboration and team support,
"Dom, I want to take a moment to recognize you for the incredible impact you’ve made since joining th",D,Teamwork & Collaboration,Strong collaboration and team support,
"I’d like to take a moment to sincerely thank you for your outstanding leadership throughout 2025, th",A,Leadership & Management,Demonstrated strong leadership and mentoring,
Hi All i would like to take this moment to thank you all for the help you have given me thru the yea,D,Teamwork & Collaboration,Strong collaboration and team support,
Guys just wanted to say a big thank you for all the teamwork efforts put into the last 12 months. Fr,D,Teamwork & Collaboration,Strong collaboration and team support,
Just wanted to say a big thankyou for covering while I had a couple off days off here and there over,E,Professional Excellence,Strong professional contribution,
Guys I just want to take this time to say a huge thank you to you all for all the collabs in 2025! I,D,Teamwork & Collaboration,Strong collaboration and team support,
"Hey John and Sinead, I would like to take this moment to thank both of you for your incredible suppo",D,Teamwork & Collaboration,Strong collaboration and team support,
A big thank you to you for answering all questions during the weekend shift—it truly made a differen,E,Professional Excellence,Professional excellence and expertise,
Hi All - i would like to thank you for your help throughout the year - with out all your contributio,D,Teamwork & Collaboration,Strong collaboration and team support,
"Thank you, Sharon, for your outstanding work this year — i think it was the toughest yet, with SAP, ",D,Teamwork & Collaboration,Strong collaboration and team support,
Thank you to the cross-functional teams for the successful transition of the final physical gift car,B,Innovation & Business Impact,Delivering business impact and results,
