employee_id,skill_id,proficiency_level,years_experience,certified
EMP0001,SKILL06,Intermediate,12,False
EMP0001,SKILL01,Expert,9,True
EMP0001,SKILL09,Expert,3,True
EMP0002,SKILL02,Intermediate,13,True
EMP0002,SKILL04,Advanced,1,False
EMP0002,SKILL07,Intermediate,12,False
EMP0003,SKILL08,Advanced,12,False
EMP0003,SKILL06,Intermediate,5,True
EMP0003,SKILL01,Advanced,6,False
EMP0003,SKILL02,Intermediate,14,True
EMP0004,SKILL09,Advanced,14,True
EMP0004,SKILL01,Advanced,2,False
EMP0004,SKILL08,Beginner,5,True
EMP0004,SKILL07,Beginner,15,False
EMP0005,SKILL10,Advanced,14,False
EMP0005,SKILL02,Advanced,4,False
EMP0005,SKILL06,Beginner,7,False
EMP0006,SKILL10,Beginner,4,True
EMP0006,SKILL02,Beginner,10,False
EMP0006,SKILL07,Beginner,14,False
EMP0006,SKILL01,Intermediate,5,False
EMP0007,SKILL08,Beginner,9,False
EMP0007,SKILL02,Advanced,10,False
EMP0008,SKILL03,Beginner,7,True
EMP0008,SKILL08,Expert,2,True
EMP0008,SKILL01,Intermediate,3,True
EMP0009,SKILL07,Advanced,15,False
EMP0009,SKILL04,Expert,13,True
EMP0009,SKILL05,Intermediate,9,True
EMP0009,SKILL10,Expert,9,True
EMP0010,SKILL03,Advanced,1,True
EMP0010,SKILL08,Advanced,9,True
EMP0010,SKILL05,Advanced,10,True
EMP0011,SKILL07,Intermediate,3,True
EMP0011,SKILL05,Beginner,14,True
EMP0012,SKILL02,Advanced,13,False
EMP0012,SKILL06,Expert,11,True
EMP0012,SKILL05,Advanced,13,True
EMP0012,SKILL09,Advanced,11,False
EMP0013,SKILL05,Expert,13,False
EMP0013,SKILL09,Advanced,7,True
EMP0014,SKILL04,Intermediate,1,False
EMP0014,SKILL01,Advanced,9,True
EMP0015,SKILL05,Expert,4,False
EMP0015,SKILL02,Expert,2,True
EMP0015,SKILL04,Beginner,12,True
EMP0015,SKILL10,Expert,10,True
EMP0016,SKILL08,Expert,6,True
EMP0016,SKILL05,Beginner,8,False
EMP0017,SKILL05,Advanced,12,False
EMP0017,SKILL04,Advanced,6,True
EMP0017,SKILL03,Advanced,4,True
EMP0017,SKILL09,Beginner,8,True
EMP0018,SKILL02,Advanced,8,True
EMP0018,SKILL10,Expert,7,True
EMP0018,SKILL01,Intermediate,13,False
EMP0019,SKILL05,Intermediate,6,True
EMP0019,SKILL06,Intermediate,10,True
EMP0019,SKILL04,Beginner,2,False
EMP0020,SKILL05,Beginner,4,False
EMP0020,SKILL09,Advanced,8,True
EMP0021,SKILL10,Advanced,15,True
